Id,Id2,Geography,Retirement_Income
0500000US06049,6049,"Modoc County, California",874
0500000US06051,6051,"Mono County, California",916
0500000US06053,6053,"Monterey County, California",21431
0500000US06055,6055,"Napa County, California",10507
0500000US06057,6057,"Nevada County, California",10350
0500000US06059,6059,"Orange County, California",146180
0500000US06061,6061,"Placer County, California",31926
0500000US06063,6063,"Plumas County, California",2226
0500000US06065,6065,"Riverside County, California",128053
0500000US06067,6067,"Sacramento County, California",103961
0500000US06069,6069,"San Benito County, California",3036
0500000US06071,6071,"San Bernardino County, California",96127
0500000US06073,6073,"San Diego County, California",191771
0500000US06075,6075,"San Francisco County, California",41225
0500000US06077,6077,"San Joaquin County, California",38179
0500000US06079,6079,"San Luis Obispo County, California",22652
0500000US06081,6081,"San Mateo County, California",43418
0500000US06083,6083,"Santa Barbara County, California",23699
0500000US06085,6085,"Santa Clara County, California",83418
0500000US06087,6087,"Santa Cruz County, California",16715
0500000US06089,6089,"Shasta County, California",15818
0500000US06091,6091,"Sierra County, California",357
0500000US06093,6093,"Siskiyou County, California",4688
0500000US06095,6095,"Solano County, California",33546
0500000US06097,6097,"Sonoma County, California",37038
0500000US06099,6099,"Stanislaus County, California",27967
0500000US06101,6101,"Sutter County, California",6273
0500000US06103,6103,"Tehama County, California",4838
0500000US06105,6105,"Trinity County, California",1396
0500000US06107,6107,"Tulare County, California",18163
0500000US06109,6109,"Tuolumne County, California",6677
0500000US06111,6111,"Ventura County, California",52165
0500000US06113,6113,"Yolo County, California",11800
0500000US06115,6115,"Yuba County, California",4921
0500000US08001,8001,"Adams County, Colorado",21969
0500000US08003,8003,"Alamosa County, Colorado",737
0500000US08005,8005,"Arapahoe County, Colorado",35684
0500000US08007,8007,"Archuleta County, Colorado",1255
0500000US08009,8009,"Baca County, Colorado",213
0500000US08011,8011,"Bent County, Colorado",439
0500000US08013,8013,"Boulder County, Colorado",17418
0500000US08014,8014,"Broomfield County, Colorado",3514
0500000US08015,8015,"Chaffee County, Colorado",1781
0500000US08017,8017,"Cheyenne County, Colorado",70
0500000US08019,8019,"Clear Creek County, Colorado",823
0500000US08021,8021,"Conejos County, Colorado",379
0500000US08023,8023,"Costilla County, Colorado",378
0500000US08025,8025,"Crowley County, Colorado",161
0500000US08027,8027,"Custer County, Colorado",452
0500000US08029,8029,"Delta County, Colorado",2786
0500000US08031,8031,"Denver County, Colorado",30848
0500000US08033,8033,"Dolores County, Colorado",124
0500000US08035,8035,"Douglas County, Colorado",16195
0500000US08037,8037,"Eagle County, Colorado",1346
0500000US08039,8039,"Elbert County, Colorado",1765
0500000US08041,8041,"El Paso County, Colorado",53247
0500000US08043,8043,"Fremont County, Colorado",4321
0500000US08045,8045,"Garfield County, Colorado",2225
0500000US08047,8047,"Gilpin County, Colorado",522
0500000US08049,8049,"Grand County, Colorado",882
0500000US08051,8051,"Gunnison County, Colorado",747
0500000US08053,8053,"Hinsdale County, Colorado",88
0500000US08055,8055,"Huerfano County, Colorado",673
0500000US08057,8057,"Jackson County, Colorado",67
0500000US08059,8059,"Jefferson County, Colorado",40975
0500000US08061,8061,"Kiowa County, Colorado",64
0500000US08063,8063,"Kit Carson County, Colorado",372
0500000US08065,8065,"Lake County, Colorado",435
0500000US08067,8067,"La Plata County, Colorado",3315
0500000US08069,8069,"Larimer County, Colorado",21013
0500000US08071,8071,"Las Animas County, Colorado",1166
0500000US08073,8073,"Lincoln County, Colorado",354
0500000US08075,8075,"Logan County, Colorado",1173
0500000US08077,8077,"Mesa County, Colorado",10805
0500000US08079,8079,"Mineral County, Colorado",117
0500000US08081,8081,"Moffat County, Colorado",545
0500000US08083,8083,"Montezuma County, Colorado",2106
0500000US08085,8085,"Montrose County, Colorado",3266
0500000US08087,8087,"Morgan County, Colorado",1411
0500000US08089,8089,"Otero County, Colorado",1382
0500000US08091,8091,"Ouray County, Colorado",574
0500000US08093,8093,"Park County, Colorado",1413
0500000US08095,8095,"Phillips County, Colorado",266
0500000US08097,8097,"Pitkin County, Colorado",638
0500000US08099,8099,"Prowers County, Colorado",519
0500000US08101,8101,"Pueblo County, Colorado",14499
0500000US08103,8103,"Rio Blanco County, Colorado",378
0500000US08105,8105,"Rio Grande County, Colorado",687
